sentence;consultant_id;gender;reca;raha
ЗарИна ФатИма лацк1Ыс г1ванла рах1А дх1аг1ап1  ауАса ФатИма дсг1ап1;8;f;0;1
аба рЫц1а ласЫ дчит1 йпа йацк1Ыс;8;f;1;0
аба рЫц1а ласЫта дчит1 йпа йацк1Ыс;8;f;1;0
аба дчит1 рЫц1а ласЫ йпа йацк1Ыс;8;f;1;0
аба дчит1 рЫц1а ласЫта йпа йацк1Ыс;8;f;1;0
Зарина дхвыцп1 ауаса Зарина Фатима лацк1Ыс рЫц1а ддуп1;9;f;1;0
Зарина Фатима лацк1Ыс рЫц1а дх1аг1Ап1;9;f;1;0
Зарина дхвыцп1 ауаса Зарина Фатима лацк1Ыс рах1А ддуп1;9;f;0;1
Зарина Фатима лацк1Ыс рах1А дх1аг1Ап1  ауаса ауАт йгьх1аг1Ам;9;f;0;1
Зарина Фатима лацк1Ыс рах1А дх1аг1Ап1;9;f;0;1
Зарина Фатима лацк1Ыс рах1А дх1аг1Ап1  ауаса ауАт аг1вЫджьгьи дук1 йгьх1аг1Ам;9;f;0;1
Зарина Фатима лацк1Ыс агАлагьи рах1А дхвыцп1;9;f;0;1
рах1А ддуп1 са сАцк1ыс;9;f;0;1
рах1А йч1ыхвп1;9;f;0;1
рах1А дгвыбзыгъап1;9;f;0;1
рах1А дгвыбзыгъап1 са сАцк1ыс;9;f;0;1
сарА псАйспадза сг1вЫзт1х1ва  ауИ рах1А ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс;9;f;0;1
ауИ рЫц1а ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса ауИ(-гьи) псАйспата дпхьадзит1;9;f;1;0
Шамель (5) Фазиль (3-4) йацк1Ыс рЫц1а бзИта тширЫхъынх1вит1;9;f;1;0
Шамель (5) Фазиль (3-4) йацк1Ыс рах1А бзИта тширЫхъынх1вит1;9;f;0;1
рах1А дласып1;9;f;0;1
рах1А бзи бызбит1;9;f;0;1
